Company Name,Industry,Industry Category,Products/Services Offered,USP (Unique Selling Proposition) / Key Selling Points,Customer Target Segments,Customer Target Segments Category,Business Model,Business Model Category,Company Size Indicators,Company Size Category,Innovation Level Indicators,Geographic Reach,Geographic Reach Category,Website,Email,Phone,Source Document Section/Notes,Is Successful Partner,Partner_Targets_B2B,Partner_Target_Audience_Size_Over_1000,Targets_Specific_Industry_Type,Is_Startup,Is_AI_Software,Is_Innovative_Product,Is_Disruptive_Product,Is_VC_Funded,Is_SaaS_Software,Is_Complex_Solution,Is_Investment_Product,Avg Leads Per Day,Rank (1-47)
SitePlan GmbH,Software for Civil Engineering / Construction Tech,Software Development / SaaS (PropTech / Construction Tech),An innovative app for digital surveying and navigation in civil engineering; Transforms digital construction plans into GPS-supported maps; GPS navigation in construction plans; Georeferenced photo documentation; Precise surveying with GNSS technology; Real-time collaboration.,"Up to 5x faster field surveys; 80% cost savings through automation; Elimination of manual measurement and staking work; Reduction of planning and post-processing effort; Minimization of error sources (e.g., utility line and construction errors); Revolutionizes working methods in civil engineering.",Construction companies (specifically in civil engineering / underground construction).,Healthcare Sector (B2B - Trainees and Institutions for Nursing),App-based software solution / Product-driven.,SaaS / Platform-Based (PropTech),GmbH (a legal form common for SMEs in German-speaking countries).,Unknown/Not Specified,"Innovative app; Digital surveying and navigation solution; GPS-supported maps; GNSS technology; Real-time collaboration; Focus on digitalization and automation in civil engineering; ""Revolutionizes your way of working.""","Austria (based in Wels, Austria).",National (Germany),www.siteplan.at,office@siteplan.at,437242214079.0,Kunde 60,True,True,True,Real Estate / Construction Sector,Not Found,False,True,True,Not Found,True,True,False,5,11
tegoly,"Software (eSignature solutions); SaaS (Software-as-a-Service); Solutions for DATEV users (e.g., tax consultants, auditors).",Wholesale / Distribution (Building Materials / Wood),tegolySIGN (an eSignature solution) with features including: DATEV integration (signing documents directly from DATEV or Teams across all three security levels); MultiSign (sending multiple documents for signature simultaneously); Signature folder (collecting documents to sign later collectively); Form filling (allowing clients to edit forms before signing); Templates (for frequently used documents); Custom CI (adapting signature processes to corporate design).,"*   The most uncomplicated digital signature solution with full DATEV integration.
    *   Seamless integration with Microsoft Teams and DATEV.
    *   Fast, secure, and legally valid digital signing without media breaks or cumbersome workflows.
    *   Saves time, money, and reduces stress in client communication.
    *   eIDAS and GDPR compliant, offering legally valid signatures worldwide.
    *   High data security: ISO 27001 certified servers and 256-bit encryption (AES/TLS/SSL).
    *   Reduction of administrative overhead in client communication.
    *   Efficient signature processes.","SMEs (Small and Medium-sized Enterprises); Companies using DATEV (e.g., tax consultants, auditors, law firms engaging in client communication).",B2B (General); SMEs (Small & Medium Enterprises),SaaS (Software-as-a-Service) for their eSignature solution; Offering simple and cost-effective digital solutions.,Product-Driven (Physical) / Wholesale,"Founded by two individuals (Sven and Jan Gosda); Targets SMEs. (No explicit data on its own employee count or revenue, implying it is likely a small to medium-sized enterprise itself).",Startup / Micro,"""Innovative eSignature solution""; ""Digital solutions""; Focus on ""efficiency increase""; Eliminates media breaks (digitization); Modern security technology (ISO 27001, 256-bit encryption); Legally compliant signatures (eIDAS, GDPR).",Primarily targeting the German market (due to strong DATEV focus); The product offers legally valid signatures worldwide.,National (Germany),tegoly.com,,,Kunde 59,True,True,True,Tax / Accounting Sector; SMEs (General B2B - targeting small to medium businesses across various industries),Not Found,False,True,False,Not Found,True,True,True,8,12
Dexter Health,Healthcare Technology (AI-powered solutions for the nursing sector),Healthcare Services / Wellness (Telemedicine),"Voice documentation & AI module; SIS Assistant (for summarizing resident discussions, care evaluation, and care planning); AI-based shift planning software.",Relieving nursing staff through innovative technologies; Enabling more time for direct resident care; Significant reduction in documentation time for resident records (from 5-10 minutes to a few seconds); Higher quality of care documentation; More efficient staff deployment through optimized shift planning.,Nursing sector (specifically targeting nursing staff and care facilities/nursing homes).,Real Estate / Construction Sector (B2B - Specifically for commercial properties),"Product-driven (software solutions, AI modules).",Service-Oriented (Telemedicine) / Subscription,Not found.,Unknown/Not Specified,AI-supported solutions; Innovative technologies; AI module; Automatic processes; AI-based shift planning; Latest AI-supported technologies; Automated care documentation.,"Not found (The mention of ""Altenpflegemesse 2024"" suggests activity in a German-speaking region, but specific sales/operational reach isn't stated).",National (Germany),dexter-health.com,,,Kunde 61,True,True,True,Healthcare (Care Facilities),Not Found,True,True,False,Not Found,Not Found,True,True,6,13
PrimeBlister,"Healthcare Solutions (specifically, medication blistering solutions / pharmaceutical packaging)",Wellness Technology / Alternative Health Products,Automated blistering solutions for pharmacies and nursing homes; Secure and error-free medication dispensing; Sustainable blister packaging (including plastic-free blister cards); Optimization of medication workflows; Individual blistering solutions; Consumables for blistering.,"Most affordable consumables on the market; Reduction of medication errors, increasing patient safety; Increased profitability for pharmacies through new blistering service business models; Sustainable and exclusive plastic-free blister cards reducing disposal costs and environmental impact; Scalable solutions (from manual systems to automation) suitable for any pharmacy size; Offers additional business concepts for a shrinking market.",Pharmacies; Care facilities (including nursing homes); Blister centers.,"Healthcare Sector (B2B - Nursing Homes, Care Facilities)","Product-driven (selling blistering systems, packaging, and consumables); Service-oriented (offering solutions and consulting to optimize processes and generate new revenue streams for customers).",Product-Driven (Physical) / Retail,,Startup,"""Innovative blistering solutions""; ""Automated blistering""; ""Continuously develops new blister solutions""; Adapting to new legal requirements in medication supply.","Not found (implied Germany due to "".de"" domain and market context, but not explicitly stated for sales/operations reach)",National (Germany),primeblister.de,,,Kunde 62,True,True,True,Healthcare (Care Facilities); Healthcare (General/Other),Not Found,False,True,False,Not Found,False,True,True,10,14
reebuild,AI-powered automation and digitization software for commercial processes in the construction industry.,IT Services / Software Development (Digital Transformation & EAM),"AI-supported software solution for construction companies; Automated document processing (invoices, delivery notes, construction contracts are captured by AI, structured, and integrated into accounting programs); Real-time cost management (centralized financial transaction recording for transparent budgeting); Integration with existing accounting software and construction cost tracking systems.",AI-supported solution specifically designed for construction companies; Relieves site managers and back-office staff from time-consuming administrative tasks; Makes construction projects more efficient and profitable; Saves time (up to 10 hours per week); Reduces errors through automated checks; Supports ESG documentation compliance; Integrates without fundamentally changing existing daily work routines.,Construction companies (specifically targeting site managers and back-office employees within these companies).,Media / Publishing Sector (B2B); B2B (General - For Marketing Services),SaaS (Software as a Service); Product-driven (offering a specialized software solution).,Consulting / Project-Based,Startup (founded in 2022).,…,AI-supported automation; Digitization; AI-powered document processing; KI-unterstützte Lösung (AI-supported solution).,"Austria (based in Vienna). The text mentions serving ""notable companies"" but doesn't specify their geographic spread.",National (Germany),https://www.reebuild.com,info@reebuild.com,,Kunde 63,True,True,True,Real Estate / Construction Sector,True,True,True,False,Not Found,Not Found,True,True,6,15
Novaheal,Healthcare E-Learning / EdTech (specifically for nursing),"Retail Technology / Hospitality Technology (POS Systems, SaaS)",Digital learning platform (interactive app) for nursing staff and trainees; Interactive learning modules with practical simulations; Digital and flexible further education; Exam preparation; Specialist training.,"Innovative e-learning platform specifically designed for nursing professionals and trainees; Massively reduces dropout rates in nursing training; Efficient and sustainable learning through practical, motivating content and an intuitive app; Enhances attractiveness for trainee applicants, providing a competitive advantage for recruiting institutions.",Nursing staff; Nursing trainees; Care facilities/Healthcare institutions.,"Practitioners (B2C/B2B - Alternative Health, Wellness); B2B (General - For Product Distribution)","Platform-based solution (E-Learning platform/app) offered to individuals (nursing staff, trainees) and institutions (care facilities).",Product-Driven (Software) / SaaS,"Not found (The text mentions collaboration with Charité's Berlin Education Campus, but no direct indicators of Novaheal's own size).",Unknown/Not Specified,"""Innovative E-Learning-Plattform""; ""interaktive App""; ""Moderne, intuitive App""; ""praxisnahen Simulationen"" (practical simulations); ""Digitale, flexible Weiterbildung"" (digital, flexible further education); Collaboration with Charité's Berlin Education Campus.",Likely Germany (implied by German language and collaboration with Berlin-based Charité). No explicit mention of wider reach.,Regional (Germany),novaheal.de,info@novaheal.de,,Kunde 64,True,True,True,Healthcare (Care Facilities); Healthcare (Hospitals/Clinics),Not Found,False,True,False,Not Found,True,True,True,8,16
Carl Götz GmbH,Wood Wholesale; Building Materials,IT Services / Telecommunications (Network Infrastructure),"Products for building and living with wood, including: Panels; Timber construction; Sawn timber and scantlings; Flooring, wall and ceiling; Doors; Terrace and garden; Accessories.","Above-average product availability (over 20,000 items in stock); Wide product range; Family-owned company with a focus on social responsibility.","B2B customers from: Trade (retail/wholesale); Industry; Crafts (e.g., carpenters, joiners).","B2B (General - Companies needing IT Consulting for Digital Transformation, Maintenance, Asset Management)",Wholesale; Product-driven.,Service-Oriented (Network Infrastructure) / Consulting,"Family-owned company; 13 branches and two import warehouses. (The text implies a significant, established business, likely Mittelstand/SME, but doesn't give specific employee or revenue numbers).",Medium,"Not found. (The text emphasizes tradition, product range, and social responsibility rather than technological innovation.)",Nationwide (Germany).,Unknown / Not Specified,www.carlgoetz.de,info@carlgoetz.de,4973170480.0,Kunde 65,True,True,True,Real Estate / Construction Sector; Manufacturing (General); Retail (Brick & Mortar),False,False,False,False,False,False,False,True,10,17
Elvari,Holistic Health Products; Wellness Technology,IT Consulting / Digital Marketing (Skilled Trades Focus),"Elvari Crystal Mat 2.0 (combining biophotons, pulsating magnetic field, infrared deep heat, chakra crystals, negative ions, Schumann resonance); Crystal Belt 2.0; Grounding Bundle.",Innovative health products based on natural healing methods; The Crystal Mat 2.0 combines six proven applications and features over 22 upgrades (including 7 new magnetic field programs); Holistic solution for vitality and life energy; Offers an additional income source for practitioners; Free trial offer; Flexible financing options; Free shipping; 30-day money-back guarantee; TrustedShops buyer protection.,"Practitioners (e.g., alternative health practitioners/Heilpraktiker, as suggested by billing options like GoH); Individuals seeking holistic health solutions.",B2B (General - For Network Infrastructure),Product-driven (sales of physical health products); Offers leasing and financing options for product acquisition.,Consulting / Agency-Based,Not found.,Unknown/Not Specified,"""Innovative health products""; ""22 Upgrades""; ""seven new magnetic field programs""; ""improved timer function""; ""compatibility with previous models""; The product itself combines multiple advanced applications (biophotons, pulsating magnetic field, etc.).","Germany (implied by .de domain and reference to German-specific regulations like ""Gebührenordnung für Heilpraktiker"" - GoH).",National (Germany),www.elvari.de,,,Kunde 67,True,True,True,Healthcare (General/Other),False,False,True,False,Not Found,False,True,True,5,18
RODIAS GmbH,"IT Consulting (specializing in digital transformation for industry, particularly maintenance and asset management)",Business Consulting / IT Consulting (Digital Transformation),"Customized IT solutions for maintenance, asset management, operation and dismantling of complex technical plants; Consulting services for maintenance; Free potential analysis; AI in maintenance; Predictive Maintenance; Augmented Reality for maintenance teams; Maintenance 4.0 solutions; Mobile apps for on-site maintenance; 360° Asset Lifecycle Management (consulting, implementation, service, support); Enterprise Asset Management (EAM) 4.0 solutions; Custom software development; Service & Support.","Over 40 years of experience (since 1984); Customized IT solutions; Covering the entire lifecycle of technical plants (from reactive to predictive maintenance); Specialization in maintenance consulting; Flexible and individual solutions; Experienced support team (150+ years combined experience); Certified quality (ISO 9001:2015), recognized excellence (Excellence Company German Mid-Sized Businesses), and innovation (TOP 100 Innovator).",Industrial companies with complex technical plants requiring maintenance and asset management solutions.,Logistics & Supply Chain Sector (B2B),"IT consulting; Project-based development of customized software solutions; Service and support (implementation, ongoing support).",Consulting / Project-Based,Mittelstand (German mid-sized business); Leading IT consulting company; Recognized as one of Germany's most innovative mid-sized companies.,SME (General) / Medium,Digital transformation; AI in maintenance; Predictive Maintenance; Augmented Reality; Maintenance 4.0; Analytics; Condition-Based Maintenance; Awarded as TOP 100 Innovator 2022.,National (Germany).,Unknown / Not Specified,rodias.de,sales@spie-rodias.de,496201503100.0,Kunde 68,True,True,True,Manufacturing (Machinery/Industrial); Energy Sector (incl. Renewables); Manufacturing (General),False,True,True,False,Not Found,Not Found,True,True,8,19
NxtLog,Digital Solutions for Logistics and Transport; Logistics Software; Supply Chain Management Solutions,Financial Services / Consulting,"Digital logistics solutions (software for optimization and automation of logistics processes); Supply chain management (enhancing transparency and control via intelligent tracking and monitoring systems); Real-time data analysis (for improving efficiency and decision-making in logistics); AI-supported optimization (for logistics planning, supply chain analysis, and route optimization); Individual analysis and consulting for digital transformation of logistics processes; Optimization of warehouse and shipping logistics.","Significantly increases efficiency and transparency in logistics processes using modern technology; Offers customized logistics solutions; Utilizes real-time data and AI for drastic cost savings and increased competitiveness; Maximizes efficiency and reduces operating costs through digitization and AI; Improves customer satisfaction through faster, more precise, and transparent logistics processes; Integration into existing systems for seamless transitions and rapid implementation.","Companies in the logistics, transport, and supply chain management sectors seeking to digitize and make their processes more efficient; Logistics service providers needing fully automated solutions for planning, tracking, and analyzing their supply chains; Companies aiming to optimize their shipping logistics and warehousing through smart software solutions.","B2B (General - For AI Solutions, across various sectors implied)",Software development; Consulting; Service-oriented (custom solutions and implementation); Product-driven (software solutions).,Consulting / Project-Based,,…,Innovative digital solutions; Modern technology; Real-time data; AI-supported optimization; Artificial intelligence; Digital transformation; Smart software solutions; Latest developments in digital logistics.,Not found (The text does not specify the company's operational or sales regions.),National (Germany),nxtlog.io,,,Kunde 70,True,True,True,Logistics & Supply Chain Sector,Not Found,True,True,False,Not Found,Not Found,True,True,5,20
DB Schenker,Logistics and Freight Forwarding; Supplier of components and special components,Healthcare Services (Occupational Health),"Land transport (Europe-wide groupage, part, and full loads); Air freight (for time-critical shipments); Ocean freight (cost-effective global goods transport); Contract logistics (customized warehousing, distribution, value-added services); Customs services (customs clearance and consulting for international supply chains); Supply of components and special components; Manufacturing support (via partners).",Comprehensive transport and logistics solutions; Purchasing power; Extensive international network; Access to a wide range of components and special components; Combination of know-how and market advantages to optimize processes and increase competitiveness; Customized solutions.,Companies of all industries; German Mittelstand (SMEs) (for component supply); External partners (for component supply and manufacturing support).,B2B (General - Companies with Occupational Health Needs),"Service-oriented (logistics, customs, contract logistics); Product/component supply.",Service-Oriented,"Over 72,700 employees; 1,850 locations; ""World-leading"" (implies large corporation).",Large,"""Customized solutions"" (Maßgeschneiderte Lösungen). (Note: No specific high-tech innovation keywords like AI, IoT, R&D, or patents were explicitly mentioned in this text, beyond offering customized solutions).",Global (operates in over 130 countries); Europe-wide (for land transport); Germany (specifically for component supply to Mittelstand).,International / Global,dbschenker.com,,,Kunde 5,True,True,True,SMEs (General B2B - targeting small to medium businesses across various industries); Large Enterprises (General B2B - targeting large corporations across various industries); Manufacturing (General),False,False,False,False,Not Found,False,True,True,8,21
